group,file,variant,prompt,t,layer,map,view,renorm,Z,raw_min,raw_max,win_row,win_col,win_score,win_on_border,noun_tokens,verb_tokens
group_stove,group_stove/t000_L05_noun_stove_orig_base.png,stove_orig,turn on the stove,0,05,noun,base,img512,6,1.3462312680122865e-06,0.13188132028405525,7,4,0.2569855544451251,0,▁stove,turn
group_stove,group_stove/t000_L05_verb_stove_orig_base.png,stove_orig,turn on the stove,0,05,verb,base,img512,6,2.1381945679663083e-06,0.04499127195667686,7,9,0.1299240491693445,0,▁stove,turn
group_stove,group_stove/t000_L05_func_stove_orig_base.png,stove_orig,turn on the stove,0,05,func,base,img512,6,1.7242566387977607e-05,0.12704754782216518,7,8,0.34899309358879876,0,▁stove,turn
group_stove,group_stove/t000_L06_allmax_stove_orig_base.png,stove_orig,turn on the stove,0,06,allmax,base,img512,6,2.958950717371986e-07,0.21462972600165606,6,8,0.4090219893487821,0,▁stove,turn
group_stove,group_stove/t000_L06_allsum_stove_orig_base.png,stove_orig,turn on the stove,0,06,allsum,base,img512,6,8.913700447900514e-07,0.7375559267473347,7,8,1.3727361078359896,0,▁stove,turn
group_stove,group_stove/t000_L06_noun_stove_orig_base.png,stove_orig,turn on the stove,0,06,noun,base,img512,6,2.5424223893580165e-08,0.21462972600165606,7,8,0.3996921160818941,0,▁stove,turn
group_stove,group_stove/t000_L06_verb_stove_orig_base.png,stove_orig,turn on the stove,0,06,verb,base,img512,6,3.7418003832368844e-08,0.18068093383294784,7,9,0.3328412444064534,0,▁stove,turn
group_stove,group_stove/t000_L06_func_stove_orig_base.png,stove_orig,turn on the stove,0,06,func,base,img512,6,7.374161600403411e-07,0.34224526691273083,7,8,0.6408963407611605,0,▁stove,turn
group_stove,group_stove/t000_L07_allmax_stove_orig_base.png,stove_orig,turn on the stove,0,07,allmax,base,img512,6,1.5374021177703043e-05,0.1233874753941116,7,8,0.4020286483981587,0,▁stove,turn
group_stove,group_stove/t000_L07_allsum_stove_orig_base.png,stove_orig,turn on the stove,0,07,allsum,base,img512,6,2.8624536272056888e-05,0.3628107907273855,7,8,1.1219600308215052,0,▁stove,turn
group_stove,group_stove/t000_L07_noun_stove_orig_base.png,stove_orig,turn on the stove,0,07,noun,base,img512,6,3.964109164344623e-07,0.11599502427133034,7,8,0.3554057935772834,0,▁stove,turn
group_stove,group_stove/t000_L07_verb_stove_orig_base.png,stove_orig,turn on the stove,0,07,verb,base,img512,6,2.0101065991970753e-06,0.06791749784809381,7,8,0.19266972732829404,0,▁stove,turn
group_stove,group_stove/t000_L07_func_stove_orig_base.png,stove_orig,turn on the stove,0,07,func,base,img512,6,2.349043028553566e-05,0.1788982686079613,7,9,0.5739416001652707,0,▁stove,turn
group_stove,group_stove/t000_L08_allmax_stove_orig_base.png,stove_orig,turn on the stove,0,08,allmax,base,img512,6,5.911134211873583e-05,0.12285684946708005,7,9,0.2746057880616732,0,▁stove,turn
group_stove,group_stove/t000_L08_allsum_stove_orig_base.png,stove_orig,turn on the stove,0,08,allsum,base,img512,6,9.798039592167093e-05,0.4018100477779107,7,8,0.8189886611564576,0,▁stove,turn
group_stove,group_stove/t000_L08_noun_stove_orig_base.png,stove_orig,turn on the stove,0,08,noun,base,img512,6,7.662233105778675e-08,0.11327073160246295,7,8,0.24890693134735026,0,▁stove,turn
group_stove,group_stove/t000_L08_verb_stove_orig_base.png,stove_orig,turn on the stove,0,08,verb,base,img512,6,2.1537271730424776e-07,0.12285684946708005,6,8,0.23245444003724341,0,▁stove,turn
group_stove,group_stove/t000_L08_func_stove_orig_base.png,stove_orig,turn on the stove,0,08,func,base,img512,6,8.966623157300631e-05,0.18574858051880483,7,9,0.3403042088810346,0,▁stove,turn
group_stove,group_stove/t000_L09_allmax_stove_orig_base.png,stove_orig,turn on the stove,0,09,allmax,base,img512,6,3.0462308686328233e-06,0.10962686730176929,6,4,0.1645714463548629,0,▁stove,turn
group_stove,group_stove/t000_L09_allsum_stove_orig_base.png,stove_orig,turn on the stove,0,09,allsum,base,img512,6,4.671413310370845e-06,0.4160006799440918,6,4,0.5949657127364786,0,▁stove,turn
group_stove,group_stove/t000_L09_noun_stove_orig_base.png,stove_orig,turn on the stove,0,09,noun,base,img512,6,6.498827469177395e-08,0.08221820045393785,5,5,0.10628657671029934,0,▁stove,turn
group_stove,group_stove/t000_L09_verb_stove_orig_base.png,stove_orig,turn on the stove,0,09,verb,base,img512,6,1.726558740041067e-07,0.0901057322949342,6,4,0.09337701995269178,0,▁stove,turn
group_stove,group_stove/t000_L09_func_stove_orig_base.png,stove_orig,turn on the stove,0,09,func,base,img512,6,3.575372920810105e-06,0.27081799727694256,6,4,0.3956749690308037,0,▁stove,turn
group_stove,group_stove/t000_L10_allmax_stove_orig_base.png,stove_orig,turn on the stove,0,10,allmax,base,img512,6,2.714209116410448e-08,0.5948870818601935,6,4,0.7674396018889383,0,▁stove,turn
group_stove,group_stove/t000_L10_allsum_stove_orig_base.png,stove_orig,turn on the stove,0,10,allsum,base,img512,6,5.126612008457911e-08,1.284243650886559,6,4,1.8211137490755893,0,▁stove,turn
group_stove,group_stove/t000_L10_noun_stove_orig_base.png,stove_orig,turn on the stove,0,10,noun,base,img512,6,1.6635126792795887e-09,0.07220647388482049,7,8,0.14238160837827885,0,▁stove,turn
group_stove,group_stove/t000_L10_verb_stove_orig_base.png,stove_orig,turn on the stove,0,10,verb,base,img512,6,9.785412274397806e-10,0.36123611479677714,6,4,0.44795662376587453,0,▁stove,turn
group_stove,group_stove/t000_L10_func_stove_orig_base.png,stove_orig,turn on the stove,0,10,func,base,img512,6,2.9182985055950238e-08,0.9084168627673186,6,4,1.2614438348825212,0,▁stove,turn
group_stove,group_stove/t000_L11_allmax_stove_orig_base.png,stove_orig,turn on the stove,0,11,allmax,base,img512,6,5.833793282931361e-08,0.11069390697945637,4,6,0.36628809128852774,0,▁stove,turn
group_stove,group_stove/t000_L11_allsum_stove_orig_base.png,stove_orig,turn on the stove,0,11,allsum,base,img512,6,1.2562399935100445e-07,0.17273988824989678,4,5,0.6274249334404224,0,▁stove,turn
group_stove,group_stove/t000_L11_noun_stove_orig_base.png,stove_orig,turn on the stove,0,11,noun,base,img512,6,3.4711961800427314e-09,0.11069390697945637,4,6,0.36628809128852774,0,▁stove,turn
group_stove,group_stove/t000_L11_verb_stove_orig_base.png,stove_orig,turn on the stove,0,11,verb,base,img512,6,1.8012199236956525e-10,0.03562198340721077,5,5,0.0983856642984432,0,▁stove,turn
group_stove,group_stove/t000_L11_func_stove_orig_base.png,stove_orig,turn on the stove,0,11,func,base,img512,6,1.2182772792864183e-07,0.10750111255046742,6,4,0.27243058801577885,0,▁stove,turn
group_stove,group_stove/t000_L12_allmax_stove_orig_base.png,stove_orig,turn on the stove,0,12,allmax,base,img512,6,2.0263567808410332e-08,0.27697070094935056,5,5,0.6133684924684751,0,▁stove,turn
group_stove,group_stove/t000_L12_allsum_stove_orig_base.png,stove_orig,turn on the stove,0,12,allsum,base,img512,6,6.803978669693053e-08,0.5981739318686902,5,5,1.322344727413615,0,▁stove,turn
group_stove,group_stove/t000_L12_noun_stove_orig_base.png,stove_orig,turn on the stove,0,12,noun,base,img512,6,3.0476536900292255e-09,0.024951122608676685,4,7,0.08560529703718359,0,▁stove,turn
group_stove,group_stove/t000_L12_verb_stove_orig_base.png,stove_orig,turn on the stove,0,12,verb,base,img512,6,1.9197900922787819e-10,0.17325947703553385,5,5,0.5055771039489241,0,▁stove,turn
group_stove,group_stove/t000_L12_func_stove_orig_base.png,stove_orig,turn on the stove,0,12,func,base,img512,6,6.131963728432137e-08,0.39996333222447966,5,5,0.7677183398801007,0,▁stove,turn
group_stove,group_stove/t000_L13_allmax_stove_orig_base.png,stove_orig,turn on the stove,0,13,allmax,base,img512,6,8.095204175281181e-07,0.5029710911659679,1,1,0.5947698349880777,1,▁stove,turn
